"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"RPSAP76",0,0,0,0,0,1,0,0,0,0,2,1,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,2,0,0,0,1,1,3
"RRN3P4",50,56,46,103,28,0,3,0,37,41,6,11,55,4,127,32,14,177,189,4,9,1,1,26,14,98,1,6,12,7,2,10,14,18,7,81,84,64,11,16,2,10,8,6,7,13
"RSF1-IT1",4,0,1,1,2,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,2,0,2,1,1,0,0,0,0,2,0,1,1,2,3,3,4,1,2,0,1,0,0,4,0,3
"RSPO2",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,2
"RSPO3",0,0,1,0,0,0,0,0,2,0,13,14,0,0,0,12,15,0,0,3,0,1,0,4,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,2,3,1
"RTL9",0,3,8,6,12,10,4,6,8,10,7,12,5,5,5,7,2,0,0,12,5,11,5,23,1,4,4,1,5,6,5,6,17,42,10,32,11,31,7,8,7,3,5,26,15,30
"RTN1",0,0,2,1,3,2,1,1,3,2,3,5,3,3,1,1,0,3,1,4,1,1,3,3,0,2,0,1,2,3,11,2,2,5,10,7,4,3,2,0,7,0,1,2,3,3
"RUSC2",19,15,0,2,10,9,7,6,2,5,8,4,0,0,0,8,10,47,40,8,30,12,22,27,20,2,65,58,16,5,2,8,1,7,3,1,4,0,11,16,2,3,7,1,1,5
"S100B",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,4,1,0,0,0,1,0,0,0,0,1
"S100P",0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1
"S1PR3",0,1,1,0,1,0,1,1,0,0,3,0,0,0,1,0,0,0,0,2,3,1,1,2,2,0,0,0,0,3,1,0,2,2,1,6,3,2,0,1,0,1,2,1,2,3
"SAGE2P",0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,3,3,34,0,1,0,2,2,0,0,0,2,0,0,0,0,37,0,0,1,0,0,0,0,0,0,2,1,0
"SALL4P6",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0
